open_position_time	option_type	pnl_15747	pnl_15776	delta
2023-06-29 08:00:00	long	0.00000000	0.00000000	0.00000000
2023-07-01 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-07-06 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-07-10 08:00:00	long	0.00000000	0.00000000	0.00000000
2023-07-11 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-07-12 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-07-13 16:00:00	long	0.00000000	0.00000000	0.00000000
2023-07-13 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-07-18 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-07-26 12:00:00	short	0.00000000	0.00000000	0.00000000
2023-07-31 08:00:00	long	0.00000000	0.00000000	0.00000000
2023-08-01 08:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-01 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-08-03 12:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-04 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-08-05 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-08-07 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-08-10 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-11 08:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-14 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-17 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-17 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-18 08:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-21 16:00:00	long	0.00000000	0.00000000	0.00000000
2023-08-21 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-22 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-23 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-25 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-26 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-28 16:00:00	long	0.00000000	0.00000000	0.00000000
2023-08-29 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-08-31 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-08-31 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-09-04 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-09-05 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-09-06 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-09-07 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-09-08 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-09-16 12:00:00	short	0.00000000	0.00000000	0.00000000
2023-09-18 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-09-18 08:00:00	short	0.00000000	0.00000000	0.00000000
2023-09-18 12:00:00	short	0.00000000	0.00000000	0.00000000
2023-09-21 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-09-21 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-09-25 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-09-25 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-09-25 08:00:00	short	0.00000000	0.00000000	0.00000000
2023-09-25 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-09-29 12:00:00	long	0.00000000	0.00000000	0.00000000
2023-10-02 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-10-05 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-10-08 12:00:00	short	0.00000000	0.00000000	0.00000000
2023-10-08 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-10-08 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-10-09 12:00:00	short	0.00000000	0.00000000	0.00000000
2023-10-09 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-10-11 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-10-16 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-10-17 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-10-19 16:00:00	long	0.00000000	0.00000000	0.00000000
2023-10-22 12:00:00	short	0.00000000	0.00000000	0.00000000
2023-10-28 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-10-29 08:00:00	long	0.00000000	0.00000000	0.00000000
2023-10-29 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-10-30 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-10-30 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-10-31 00:00:00	short	0.00000000	0.00000000	0.00000000
