open_position_time	side_15776	side_15777	pnl_15776	pnl_15777	delta
2023-04-07 12:00:00	short	short	-6.90960281	-7.14224701	-0.23264420
2023-04-13 16:00:00	long	long	26.53642487	27.42989813	0.89347326
2023-04-19 16:00:00	short	short	8.55040418	8.83829366	0.28788948
2023-04-21 12:00:00	long	long	-5.25500800	-5.43194250	-0.17693450
2023-04-21 16:00:00	short	short	16.12641688	16.66938838	0.54297150
2023-04-24 12:00:00	long	long	5.86607831	6.06358737	0.19750906
2023-04-24 20:00:00	long	long	5.43779612	5.62088504	0.18308892
2023-04-26 16:00:00	long	long	-14.58019313	-15.07110375	-0.49091062
2023-04-30 00:00:00	long	long	-0.95951225	-0.99181873	-0.03230648
2023-04-30 16:00:00	short	short	-5.33567964	-5.51533034	-0.17965070
2023-04-30 20:00:00	long	long	-5.22906195	-5.40512286	-0.17606091
2023-05-04 04:00:00	long	long	-20.22290912	-20.90380825	-0.68089913
2023-05-10 20:00:00	long	long	-19.39983672	-20.05302325	-0.65318653
2023-05-11 00:00:00	long	long	5.38917583	5.57062772	0.18145189
2023-05-15 00:00:00	short	short	-6.09057547	-6.29564327	-0.20506780
2023-05-16 00:00:00	short	short	8.17816037	8.45351652	0.27535615
2023-05-24 08:00:00	short	short	1.09015242	1.12685751	0.03670509
2023-06-02 08:00:00	long	long	4.32398295	4.46957012	0.14558717
2023-06-02 20:00:00	long	long	3.11943550	3.22446593	0.10503043
2023-06-03 00:00:00	long	long	-4.35930456	-4.50608100	-0.14677644
2023-06-04 20:00:00	short	short	1.86618394	1.92901778	0.06283384
2023-06-05 04:00:00	short	short	3.66700100	3.79046780	0.12346680
2023-06-09 20:00:00	long	long	-4.10798130	-4.24629577	-0.13831447
2023-06-10 08:00:00	short	short	25.50808683	26.36693627	0.85884944
2023-06-10 12:00:00	short	short	-0.29557837	-0.30553040	-0.00995203
2023-06-12 20:00:00	long	long	3.47148214	3.58836588	0.11688374
2023-06-13 20:00:00	short	short	0.29072945	0.30051822	0.00978877
2023-06-15 00:00:00	long	long	-20.32173706	-21.00596369	-0.68422663
2023-06-15 04:00:00	short	short	-0.54418841	-0.56251106	-0.01832265
2023-06-17 00:00:00	long	long	-0.62379208	-0.64479496	-0.02100288
2023-06-19 04:00:00	short	short	-5.95266651	-6.15309096	-0.20042445
2023-06-20 08:00:00	short	short	-0.64378026	-0.66545615	-0.02167589
2023-06-20 20:00:00	long	long	3.36286135	3.47608786	0.11322651
2023-06-23 20:00:00	short	short	9.11455467	9.42143892	0.30688425
2023-06-25 20:00:00	short	short	-3.46106491	-3.57759790	-0.11653299
2023-06-27 00:00:00	short	short	-9.41266141	-9.72958283	-0.31692142
2023-06-29 08:00:00	long	long	14.19018228	14.66796135	0.47777907
